30000,2,1,2
40000,2,2,2
50000,4,2,4
60000,4,4,5
70000,6,5,7
80000,8,6,8
90000,10,8,11
100000,11,10,13
110000,14,12,15
120000,16,15,17
130000,19,17,21
140000,22,19,24
150000,25,22,28
160000,29,26,31
170000,33,29,35
180000,36,33,39
190000,39,37,43
200000,44,42,993
210000,50,45,50
220000,52,49,55
230000,56,54,62
240000,62,58,65
250000,66,62,72
260000,72,67,76
270000,77,74,81
280000,82,78,89
290000,90,86,96
300000,95,1836,369
310000,1868,129,140
320000,147,136,154
330000,150,148,163
340000,1579,116,126
350000,128,122,134
360000,136,130,140
370000,203,136,148
380000,150,144,156
390000,158,153,164
400000,167,159,172
